Metric	Value
Method	LDA
Nb_Discours	8963
Nb_Presidents	11
Nb_Paragraphs	337910
Nb_Topics	15
Execution_Time_Sec	578.58
CPU_Usage_Percent	0.00
Memory_Usage_Percent	3.12
GPU_Usage_Percent	0.00
GPU_Power_Watts	10.67

Topic_ID	Nb_Paragraphs	Top_Words
1	28168	이번 (cette fois) | 평화와 (la paix et) | 것입니다 (volonté) | 것으로 (comme) | 기대합니다 (J'ai hâte d'y être) | 우리 (nous) | 더욱 (plus) | 믿습니다 (Je crois) | 바랍니다 (s'il te plaît) | 되기를 (être)
2	30081	우리 (nous) | 감사합니다 (merci) | 있읍니다 (Il y a) | 동안 (pendant) | 여러 (plusieurs) | 가지 (aubergine) | 같이 (ensemble) | 지난 (passé) | 있는 (présent) | 경제 (économie)
3	33977	것입니다 (volonté) | 우리는 (nous sommes) | 우리의 (notre) | 위한 (pour) | 노력을 (effort) | 이를 (Ce) | 북한의 (Corée du Nord) | 더욱 (plus) | 북한 (Corée du Nord) | 또한 (aussi)
4	21839	우리 (nous) | 것이다 (volonté) | 것을 (que) | 우리가 (nous) | 모든 (chaque) | 것이 (C'est) | 것은 (Le truc c'est) | 하는 (faire) | 것입니다 (volonté) | 있는 (présent)
5	31347	한국의 (coréen) | 지난 (passé) | 양국 (les deux pays) | 한국은 (La Corée est) | 한국 (Corée) | 아시아 (Asie) | 있습니다 (il y a) | 왔습니다 (est venu) | 했습니다 (je l'ai fait) | 미국 (USA)
6	38321	것입니다 (volonté) | 정부는 (Le gouvernement) | 있도록 (de sorte que) | 바랍니다 (s'il te plaît) | 위해 (pour) | 위한 (pour) | 있습니다 (il y a) | 적극 (activement) | 있는 (présent) | 더욱 (plus)
7	35926	생각합니다 (Je pense) | 있습니다 (il y a) | 이런 (ce) | 하고 (faire) | 대통령 (président) | 있는 (présent) | 것이 (C'est) | 때문에 (parce que) | 그런 (que) | 하는 (faire)
8	39235	우리 (nous) | 국민의 (du peuple) | 위해 (pour) | 국민 (personnes) | 저는 (Je suis) | 함께 (ensemble) | 모두가 (tout le monde) | 힘을 (force) | 모두 (chaque) | 나라를 (le pays)
9	35842	합니다 (faire) | 새로운 (nouveau) | 이제 (maintenant) | 것입니다 (volonté) | 우리 (nous) | 우리는 (nous sommes) | 함께 (ensemble) | 위해서는 (Pour) | 시대를 (ère) | 되어야 (Devrait être)
10	26652	오늘 (aujourd'hui) | 다시 (encore) | 여러분의 (ton) | 진심으로 (sincèrement) | 드립니다 (Nous vous le donnons) | 깊은 (profond) | 한번 (une fois) | 말씀을 (dire les mots) | 기원합니다 (J'espère) | 주신 (donné)
11	43640	있습니다 (il y a) | 세계 (monde) | 우리 (nous) | 지금 (maintenant) | 있는 (présent) | 우리는 (nous sommes) | 가장 (la plupart) | 많은 (beaucoup) | 되었습니다 (C'est fait) | 이제 (maintenant)
12	30431	것입니다 (volonté) | 대한 (pour) | 사회 (société) | 따라 (selon) | 있을 (Il y aura) | 그리고 (et) | 국민의 (du peuple) | 모든 (chaque) | 정치 (politique) | 있는 (présent)
13	24554	여러분 (tout le monde) | 국민 (personnes) | 그리고 (et) | 존경하는 (respectueux) | 친애하는 (cher) | 귀빈 (VIP) | 내외 (Intérieur et extérieur) | 사랑하는 (affectueux) | 자리에 (en place) | 각하 (congédiement)
14	28590	것을 (que) | 바입니다 (C'est un bar) | 나는 (Je suis) | 여러분의 (ton) | 본인은 (Je suis) | 있는 (présent) | 여러분은 (Vous les gars) | 오늘 (aujourd'hui) | 더불어 (Ensemble) | 같은 (même)
15	43610	것입니다 (volonté) | 있는 (présent) | 것은 (Le truc c'est) | 우리가 (nous) | 하는 (faire) | 우리 (nous) | 그러나 (cependant) | 없습니다 (n'existe pas) | 것이 (C'est) | 없는 (Non)
