Metric	Value
Nb_Discours	8963
Nb_Presidents	1
Nb_Paragraphs	337910
Nb_Topics	15
Execution_Time_Sec	371.63
CPU_Usage_Percent	0.00
Memory_Usage_Percent	2.70
GPU_Usage_Percent	0.00
GPU_Power_Watts	10.62

Topic_ID	Nb_Paragraphs	Top_Words
1	128013	바랍니다 (s'il te plaît) | 믿습니다 (Je crois) | 것입니다 (volonté) | 함께 (ensemble) | 세계 (monde) | 기대합니다 (J'ai hâte d'y être) | 것으로 (comme) | 우리 (nous) | 평화와 (la paix et) | 이번 (cette fois)
2	12052	민족 (nation) | 것입니다 (volonté) | 아니라 (pas) | 같이 (ensemble) | 동안 (pendant) | 있는 (présent) | 바로 (dès que) | 있읍니다 (Il y a) | 우리 (nous) | 감사합니다 (merci)
3	15151	정부는 (Le gouvernement) | 또한 (aussi) | 더욱 (plus) | 위해 (pour) | 이를 (Ce) | 노력을 (effort) | 위한 (pour) | 우리는 (nous sommes) | 우리의 (notre) | 것입니다 (volonté)
4	10520	하는 (faire) | 있는 (présent) | 것은 (Le truc c'est) | 것이 (C'est) | 것입니다 (volonté) | 모든 (chaque) | 우리가 (nous) | 것을 (que) | 우리 (nous) | 것이다 (volonté)
5	13469	한국과 (la Corée et) | 관계를 (relation) | 새로운 (nouveau) | 양국 (les deux pays) | 아시아 (Asie) | 한국의 (coréen) | 왔습니다 (est venu) | 한국은 (La Corée est) | 지난 (passé) | 있습니다 (il y a)
6	19556	있는 (présent) | 적극 (activement) | 대한 (pour) | 위한 (pour) | 있습니다 (il y a) | 위해 (pour) | 정부는 (Le gouvernement) | 바랍니다 (s'il te plaît) | 있도록 (de sorte que) | 것입니다 (volonté)
7	19145	저는 (Je suis) | 그런 (que) | 때문에 (parce que) | 있는 (présent) | 것이 (C'est) | 하고 (faire) | 이런 (ce) | 대통령 (président) | 생각합니다 (Je pense) | 있습니다 (il y a)
8	14699	것을 (que) | 바입니다 (C'est un bar) | 나는 (Je suis) | 국민 (personnes) | 저는 (Je suis) | 함께 (ensemble) | 위해 (pour) | 국민의 (du peuple) | 오늘 (aujourd'hui) | 우리 (nous)
9	15282	모두가 (tout le monde) | 시대를 (ère) | 함께 (ensemble) | 위해서는 (Pour) | 것입니다 (volonté) | 우리는 (nous sommes) | 새로운 (nouveau) | 이제 (maintenant) | 우리 (nous) | 합니다 (faire)
10	12445	여러분께 (À tout le monde) | 한번 (une fois) | 것을 (que) | 주신 (donné) | 말씀을 (dire les mots) | 깊은 (profond) | 드립니다 (Nous vous le donnons) | 진심으로 (sincèrement) | 오늘 (aujourd'hui) | 다시 (encore)
11	18868	많은 (beaucoup) | 있으며 (et) | 우리의 (notre) | 그러나 (cependant) | 우리는 (nous sommes) | 지금 (maintenant) | 있는 (présent) | 세계 (monde) | 우리 (nous) | 있습니다 (il y a)
12	12039	정치 (politique) | 앞으로 (désormais) | 그리고 (et) | 따라 (selon) | 대한 (pour) | 나갈 (sortir) | 있는 (présent) | 사회 (société) | 있을 (Il y aura) | 것입니다 (volonté)
13	18535	각하 (congédiement) | 자리에 (en place) | 사랑하는 (affectueux) | 내외 (Intérieur et extérieur) | 귀빈 (VIP) | 친애하는 (cher) | 존경하는 (respectueux) | 그리고 (et) | 국민 (personnes) | 여러분 (tout le monde)
14	9320	더욱 (plus) | 여러분이 (Tout le monde) | 이와 (Avec ça) | 여러분은 (Vous les gars) | 본인은 (Je suis) | 같은 (même) | 나는 (Je suis) | 바입니다 (C'est un bar) | 것을 (que) | 여러분의 (ton)
15	18816	가지 (aubergine) | 그러나 (cependant) | 가장 (la plupart) | 것이 (C'est) | 우리가 (nous) | 우리 (nous) | 하는 (faire) | 것은 (Le truc c'est) | 있는 (présent) | 것입니다 (volonté)
