Metric	Value
Method	LSA_GPU_Kmeans
Nb_Discours	9984
Nb_Presidents	12
Nb_Paragraphs	345491
Nb_Topics	15
Execution_Time_Sec	11.63
CPU_Usage_Percent	0.00
Memory_Usage_Percent	9.89
GPU_Usage_Percent	0.00
GPU_Power_Watts	32.62

Topic_ID	Nb_Paragraphs	Top_Words
1	669	친애하는 | 국민 | 여러분 | 그리고 | 전국의 | 자리에 | 참석하신 | 국회의원 | 내외귀빈 | 장병
2	41950	하는 | 것은 | 우리가 | 것이 | 것을 | 것이다 | 하고 | 모든 | 그러나 | 이런
3	14056	합니다 | 우리 | 우리는 | 위해서는 | 나가야 | 해야 | 이제 | 있는 | 되어야 | 함께
4	26680	있습니다 | 우리 | 지금 | 새로운 | 세계 | 우리는 | 위해 | 이제 | 많은 | 되고
5	17517	있는 | 것입니다 | 우리 | 우리가 | 것은 | 지금 | 하고 | 있습니다 | 것이 | 우리의
6	17279	힘찬 | 힘차게 | 힘이 | 힘을 | 힘으로 | 힘써 | 힘든 | 힘과 | 희생을 | 희생과
7	8721	국민 | 여러분 | 존경하는 | 國民 | 사랑하는 | 모두가 | 우리 | 여러분의 | 그리고 | 것입니다
8	25698	우리는 | 우리의 | 있읍니다 | 이제 | 세계 | 이러한 | 그러나 | 되었습니다 | 지금 | 하겠읍니다
9	21591	우리 | 것입니다 | 국민의 | 모두 | 나라의 | 나라 | 민족의 | 것을 | 것은 | 함께
10	55144	여러분의 | 오늘 | 위해 | 나는 | 함께 | 바랍니다 | 것을 | 바입니다 | 위한 | 진심으로
11	63311	감사합니다 | 대통령이승만박사담화집 | 대통령 | 그리고 | 각하 | 공보실 | 1953 | 공보처 | 존경하는 | 1956
12	13466	힘찬 | 힘차게 | 힘이 | 힘을 | 힘으로 | 힘써 | 힘든 | 힘과 | 희생을 | 희생과
13	13826	여러분 | 귀빈 | 존경하는 | 그리고 | 내외 | 의원 | 동포 | 사랑하는 | 자리에 | 내외귀빈
14	2762	친애하는 | 여러분 | 졸업생 | 동포 | 장병 | 전국의 | 그리고 | 동지 | 공무원 | 경찰관
15	22821	것입니다 | 나갈 | 있을 | 정부는 | 더욱 | 위한 | 우리의 | 모든 | 있도록 | 위해
