President,I_Singular,We_Plural,Action_Verbs_VV,State_Verbs_VA,Total_Tokens,I_per_1000,We_per_1000,Action_ratio
Choi Kyu Hah,200,885,5441,1007,82953,2.411003821441057,10.668691909876676,0.8438275434243176
Chun Doo Hwan,1567,8703,60828,13550,876266,1.7882697719642209,9.931915651183544,0.8178224743875877
Kim Dae Jung,4089,9511,86382,17376,1167022,3.5037899885349204,8.14980351698597,0.8325333950153241
Kim Young Sam,2823,7405,65000,12458,852078,3.313076971826523,8.690518943101452,0.8391644504118361
Lee Myung Bak,3206,6693,80454,17352,996027,3.2187882457001664,6.719697357601751,0.8225875713146433
Lee Seung Man,2056,10053,81312,11129,908164,2.2639082808831885,11.069586550446836,0.8796096969959217
Moon Jae In,2029,7467,96453,17112,1386573,1.4633199982979619,5.38521953045386,0.8493197728173293
Park Chung Hee,5683,23240,158050,30932,2040934,2.7845094451853902,11.386943428841892,0.836323036056344
Park Geun Hye,967,2649,34032,6081,492026,1.9653432948665315,5.38386182843996,0.8484032607882731
Roh Moo Hyun,3058,5643,83551,18144,1009582,3.0289763486274515,5.5894419670715205,0.8215841486798761
Roh Tae Woo,3771,11180,93924,20111,1206112,3.1265753097556446,9.269454246371813,0.8236418643398956
Yun Bo Seon,4,3,124,19,1714,2.333722287047841,1.750291715285881,0.8671328671328671
